it,instant,local_optimum_value
0,0.0,16100.0
1,0.488344669342041,15100.0
2,0.8415858745574951,14700.0
3,1.192418098449707,14700.0
4,1.5393867492675781,14700.0
5,1.8955919742584229,14700.0
6,2.2409470081329346,14700.0
7,2.4727277755737305,14700.0
8,2.8196158409118652,14700.0
9,3.170753002166748,14700.0
10,3.519653797149658,14700.0
11,3.8654489517211914,14700.0
12,4.218937873840332,14700.0
13,4.572901725769043,14700.0
14,4.920493841171265,14700.0
15,5.269164085388184,14700.0
16,5.618537902832031,14700.0
17,5.967070817947388,14700.0
18,6.19881796836853,14700.0
19,6.552953720092773,14700.0
20,6.903692007064819,14700.0
21,7.250917911529541,14700.0
22,7.601816892623901,14700.0
23,7.949757814407349,14700.0
24,8.303313970565796,14700.0
25,8.654866933822632,14700.0
26,9.154255867004395,14700.0
27,9.50591778755188,14700.0
28,9.857170820236206,14700.0
29,10.213013887405396,14700.0
30,10.564986944198608,14700.0
31,10.913660764694214,14700.0
32,11.261847734451294,14700.0
33,11.616699934005737,14700.0
34,11.972750902175903,14700.0
35,12.32666802406311,14700.0
36,12.673644781112671,14700.0
37,12.907741785049438,14700.0
38,13.258957862854004,14700.0
39,13.608695030212402,14700.0
40,13.95902681350708,14700.0
41,14.313715934753418,14700.0
42,14.663258790969849,14700.0
43,15.015995740890503,14700.0
