it,instant,local_optimum_value
0,0.0,88183.0
1,3.722606897354126,87653.0
2,5.268143653869629,87653.0
3,6.687011957168579,87653.0
4,13.128180980682373,85605.0
5,14.77211594581604,85605.0
6,16.179123878479004,83421.0
7,18.39511275291443,83421.0
8,21.167415857315063,83421.0
9,21.891549825668335,83421.0
10,24.707605838775635,83421.0
11,27.213305711746216,83421.0
12,27.93273377418518,83421.0
13,37.08918881416321,83421.0
14,37.8070969581604,83421.0
15,40.082459688186646,83421.0
16,42.55147576332092,83421.0
17,47.93529272079468,83421.0
18,48.66971683502197,83421.0
19,50.18114876747131,83421.0
20,50.90607976913452,83421.0
21,53.613436698913574,83421.0
22,56.12888169288635,83421.0
23,58.89593577384949,83421.0
24,64.19339990615845,83421.0
25,64.93157982826233,83421.0
26,67.6204526424408,83421.0
27,70.19973587989807,83421.0
28,72.78706383705139,83421.0
29,73.53220987319946,83421.0
30,76.12248086929321,83421.0
31,78.50248169898987,83421.0
32,79.22181606292725,83421.0
33,81.47443771362305,83421.0
34,84.80616497993469,83421.0
35,87.21365690231323,83421.0
36,90.03358578681946,83421.0
37,96.36235880851746,83421.0
38,99.21073985099792,83421.0
39,102.01926183700562,83421.0
40,102.75718808174133,83421.0
41,105.76305198669434,83421.0
42,108.45523285865784,83421.0
43,109.17181777954102,83421.0
44,111.6058599948883,83421.0
45,114.32836604118347,83421.0
46,115.99889302253723,83421.0
47,116.73328995704651,83421.0
48,119.30302309989929,83421.0
49,121.7444999217987,83421.0
50,124.54628992080688,83421.0
51,125.29103779792786,83421.0
52,130.23620295524597,83421.0
53,130.96314072608948,83421.0
54,145.99822688102722,83421.0
55,146.7259738445282,83421.0
56,149.13528680801392,83421.0
57,151.7902958393097,83421.0
58,154.45565676689148,83421.0
59,157.09728479385376,83421.0
60,159.68764781951904,83421.0
61,162.19514679908752,83421.0
62,164.93941187858582,83421.0
63,165.67079496383667,83421.0
64,168.26870703697205,83421.0
65,170.64889788627625,83421.0
66,171.36768102645874,83421.0
67,174.16763281822205,83421.0
68,174.8742640018463,83421.0
69,177.09393978118896,83421.0
70,180.10604286193848,83421.0
71,183.02741885185242,83421.0
72,183.7693178653717,83421.0
73,185.6123230457306,83421.0
74,186.442391872406,83421.0
75,189.21149682998657,83421.0
76,191.82178401947021,83421.0
77,195.84044885635376,83421.0
78,196.58202385902405,83421.0
79,199.36873579025269,83421.0
80,202.20675587654114,83421.0
81,204.76936793327332,83421.0
82,205.51132106781006,83421.0
83,208.6177978515625,83421.0
84,209.35509395599365,83421.0
85,211.6476809978485,83421.0
86,214.4681408405304,83421.0
87,215.18873286247253,83421.0
88,217.61373591423035,83421.0
89,218.34342789649963,83421.0
90,220.83080172538757,83421.0
91,221.53074193000793,83421.0
92,224.1376187801361,83421.0
93,227.1730968952179,83421.0
94,229.80375909805298,83421.0
95,230.530024766922,83421.0
96,233.16411781311035,83421.0
97,236.31183195114136,83421.0
98,237.0368309020996,83421.0
99,239.86638379096985,83421.0
100,242.7067267894745,83421.0
101,245.7604558467865,83421.0
102,248.6001420021057,83421.0
103,251.16058993339539,83421.0
104,253.99291276931763,83421.0
105,254.71242475509644,83421.0
106,257.21186780929565,83421.0
107,259.96883392333984,83421.0
108,260.6824150085449,83421.0
109,263.0587868690491,83421.0
110,265.34981179237366,83421.0
111,271.5312988758087,83421.0
112,274.31890392303467,83421.0
113,277.298220872879,83421.0
114,280.15880703926086,83421.0
115,280.89781188964844,83421.0
116,282.48532485961914,83421.0
117,283.202853679657,83421.0
118,286.2174849510193,83421.0
119,286.9445598125458,83421.0
120,290.0360429286957,83421.0
121,292.7336449623108,83421.0
122,295.13016176223755,83421.0
123,297.9022319316864,83421.0
124,300.72505283355713,83421.0
125,303.33762788772583,83421.0
126,305.8224849700928,83421.0
127,308.1898949146271,83421.0
128,309.0380756855011,83421.0
129,315.4863278865814,83421.0
130,316.19893980026245,83421.0
131,319.05533480644226,83421.0
132,321.6580948829651,83421.0
133,322.37872791290283,83421.0
134,331.10857701301575,83421.0
135,331.822016954422,83421.0
136,334.7271637916565,83421.0
137,337.0745499134064,83421.0
138,339.77812695503235,83421.0
139,342.61975383758545,83421.0
140,345.02094888687134,83421.0
141,348.3277108669281,83421.0
142,350.9360249042511,83421.0
143,351.66226983070374,83421.0
144,354.3883156776428,83421.0
145,357.467741727829,83421.0
146,360.974004983902,83421.0
147,363.7080888748169,83421.0
148,367.49769496917725,83421.0
149,370.0496838092804,83421.0
150,372.759309053421,83421.0
151,373.4967517852783,83421.0
152,376.27315282821655,83421.0
153,376.99591279029846,83421.0
154,378.855260848999,83421.0
155,379.5784230232239,83421.0
156,382.2966148853302,83421.0
157,387.40641498565674,83421.0
158,388.14479184150696,83421.0
159,390.30241775512695,83421.0
160,391.00794887542725,83421.0
161,396.6549458503723,83421.0
162,397.36836290359497,83421.0
163,399.6641767024994,83421.0
164,400.36367678642273,83421.0
165,402.8968138694763,83421.0
166,405.53952288627625,83421.0
167,411.843163728714,83421.0
168,414.74992990493774,83421.0
169,417.2181718349457,83421.0
170,417.9540379047394,83421.0
171,420.71260595321655,83421.0
172,423.0744397640228,83421.0
173,426.185754776001,83421.0
174,429.01217889785767,83421.0
175,431.25832891464233,83421.0
176,431.99475502967834,83421.0
177,434.6981098651886,83421.0
178,435.4153468608856,83421.0
179,438.0677008628845,83421.0
180,439.68173480033875,83421.0
181,440.3932237625122,83421.0
182,442.947705745697,83421.0
183,445.50628781318665,83421.0
184,448.58552074432373,83421.0
185,450.2434937953949,83421.0
186,450.9713656902313,83421.0
187,453.8087899684906,83421.0
188,454.53248286247253,83421.0
189,456.8018298149109,83421.0
190,457.523729801178,83421.0
191,460.15801072120667,83421.0
192,462.86789870262146,83421.0
193,465.34976387023926,83421.0
194,466.06793785095215,83421.0
195,468.95039987564087,83421.0
196,471.2091839313507,83421.0
197,473.78648591041565,83421.0
198,474.52290773391724,83421.0
199,476.9662446975708,83421.0
200,477.66510486602783,83421.0
201,480.6665198802948,83421.0
202,483.43244886398315,83421.0
203,484.1665678024292,83421.0
204,490.2179560661316,83421.0
205,492.85243487358093,83421.0
206,493.5618407726288,83421.0
207,496.2004268169403,83421.0
208,496.9177668094635,83421.0
209,499.5677716732025,83421.0
210,500.28790974617004,83421.0
211,502.7896158695221,83421.0
212,505.49958086013794,83421.0
213,506.2249357700348,83421.0
214,509.05817890167236,83421.0
215,512.035306930542,83421.0
216,515.068413734436,83421.0
217,523.4257898330688,83421.0
218,524.1763639450073,83421.0
219,526.8034207820892,83421.0
220,527.528315782547,83421.0
221,529.9691030979156,83421.0
222,530.6923539638519,83421.0
223,533.510106086731,83421.0
224,536.1495196819305,83421.0
225,536.8894467353821,83421.0
226,545.7069339752197,83421.0
227,546.4469029903412,83421.0
228,549.1465797424316,83421.0
229,551.31702876091,83421.0
230,552.0419678688049,83421.0
231,554.8543820381165,83421.0
232,555.5762627124786,83421.0
233,558.0147368907928,83421.0
234,560.3845009803772,83421.0
235,563.1963648796082,83421.0
236,563.928258895874,83421.0
237,566.7454147338867,83421.0
238,568.5655426979065,83421.0
239,569.2934367656708,83421.0
240,571.7533717155457,83421.0
241,574.3319189548492,83421.0
242,576.6542088985443,83421.0
243,577.3941009044647,83421.0
244,580.0756080150604,83421.0
245,582.4339687824249,83421.0
246,585.0380117893219,83421.0
247,585.9023296833038,83421.0
248,587.4856119155884,83421.0
249,588.2299597263336,83421.0
250,590.7558319568634,83421.0
251,593.2531268596649,83421.0
252,593.9698297977448,83421.0
253,596.2978777885437,83421.0
254,598.2603707313538,83421.0
255,598.9968130588531,83421.0
256,601.5769789218903,83421.0
