it,instant,local_optimum_value
0,0.0,17000.0
1,0.6019508838653564,15400.0
2,1.060863971710205,15400.0
3,1.4116652011871338,15400.0
4,1.768578052520752,15400.0
5,2.1226370334625244,15400.0
6,2.5864479541778564,15400.0
7,2.9356191158294678,15400.0
8,3.2929270267486572,15400.0
9,3.6467740535736084,15400.0
10,4.105723857879639,15400.0
11,4.459028959274292,15400.0
12,4.8131067752838135,15400.0
13,5.165708065032959,15400.0
14,5.6226959228515625,15400.0
15,5.981916189193726,15400.0
16,6.33408784866333,15400.0
17,6.686218023300171,15400.0
18,7.147622108459473,15400.0
19,7.500243902206421,15400.0
20,7.854779005050659,15400.0
21,8.21156907081604,15400.0
