it,instant,local_optimum_value
0,0.0,38989.0
1,1.4499361515045166,32438.0
2,1.682878017425537,32438.0
3,1.8031201362609863,32438.0
4,4.285604000091553,32438.0
5,4.637404203414917,32438.0
6,4.868000030517578,32438.0
7,4.9873740673065186,32438.0
8,7.351300001144409,32438.0
9,7.703115940093994,32438.0
10,8.177193880081177,32438.0
11,8.535319089889526,32438.0
12,8.888975143432617,32438.0
13,9.127622127532959,32438.0
14,9.2461838722229,32438.0
15,11.644383907318115,32438.0
16,12.103612184524536,32438.0
17,12.46018099784851,32438.0
18,12.577033042907715,32438.0
19,14.874316930770874,32438.0
20,15.232081174850464,32438.0
