it,instant,local_optimum_value
0,0.0,59320.0
1,0.2246110439300537,59320.0
2,1.7589311599731445,59293.0
3,1.9877989292144775,59293.0
4,3.031831979751587,59293.0
5,3.264633893966675,59293.0
6,4.303496837615967,59293.0
7,4.535428047180176,59293.0
8,5.576049089431763,59293.0
9,5.802334785461426,59293.0
10,6.838437080383301,59293.0
11,7.066328048706055,59293.0
12,8.26023006439209,59293.0
13,8.496906995773315,59293.0
14,9.540803909301758,59293.0
15,9.774237155914307,59293.0
16,10.835855960845947,59293.0
17,11.067576885223389,59293.0
18,12.259473085403442,59293.0
19,12.492120027542114,59293.0
20,13.547147989273071,59293.0
21,13.783177852630615,59293.0
22,14.814745903015137,59293.0
23,15.070203065872192,59293.0
24,16.115614891052246,59293.0
25,16.337274074554443,59293.0
26,17.401773929595947,59293.0
27,17.622887134552002,59293.0
28,18.79131507873535,59293.0
29,19.019446849822998,59293.0
30,20.14633297920227,59293.0
31,20.374104976654053,59293.0
32,21.44640612602234,59293.0
33,21.714111804962158,59293.0
34,22.765549898147583,59293.0
35,22.999082803726196,59293.0
36,24.18554997444153,59293.0
37,24.417853116989136,59293.0
38,25.599209785461426,59293.0
39,25.82531499862671,59293.0
40,26.969055891036987,59293.0
41,27.20146608352661,59293.0
42,28.275686025619507,59293.0
43,28.502326011657715,59293.0
44,29.605012893676758,59293.0
45,29.83546781539917,59293.0
46,31.02923893928528,59293.0
47,31.25779700279236,59293.0
48,32.340039014816284,59293.0
49,32.56849980354309,59293.0
50,33.77930474281311,59293.0
51,34.00799083709717,59293.0
52,35.160147190093994,59293.0
53,35.39669179916382,59293.0
54,36.46627402305603,59293.0
55,36.80989599227905,59293.0
56,37.86814498901367,59293.0
57,38.10906481742859,59293.0
58,39.16317796707153,59293.0
59,39.38770794868469,59293.0
60,40.55509805679321,59293.0
61,40.78664994239807,59293.0
62,41.927847146987915,59293.0
63,42.16485118865967,59293.0
64,43.212111949920654,59293.0
65,43.47974109649658,59293.0
66,44.50544595718384,59293.0
67,44.731520891189575,59293.0
68,45.77589297294617,59293.0
69,46.00358295440674,59293.0
70,47.07869291305542,59293.0
71,47.310441970825195,59293.0
72,48.46455907821655,59293.0
73,48.6971230506897,59293.0
74,49.72760486602783,59293.0
75,49.95833110809326,59293.0
76,51.10692501068115,59293.0
77,51.33437776565552,59293.0
78,52.51724195480347,59293.0
79,52.74890208244324,59293.0
80,53.80883502960205,59293.0
81,54.0416738986969,59293.0
82,55.21137189865112,59293.0
83,55.4429669380188,59293.0
84,56.500727891922,59293.0
85,56.76622200012207,59293.0
86,57.807411909103394,59293.0
87,58.04917788505554,59293.0
88,59.2239248752594,59293.0
89,59.45787501335144,59293.0
90,60.66524791717529,59293.0
91,60.896339893341064,59293.0
92,61.96130084991455,59293.0
93,62.194759130477905,59293.0
94,63.252312898635864,59293.0
95,63.48778200149536,59293.0
96,64.67847108840942,59293.0
97,64.91214895248413,59293.0
98,65.95780491828918,59293.0
99,66.18442296981812,59293.0
100,67.27335596084595,59293.0
101,67.50573086738586,59293.0
102,68.56992602348328,59293.0
103,68.79584193229675,59293.0
104,69.83544111251831,59293.0
105,70.06618785858154,59293.0
106,71.10765790939331,59293.0
107,71.33808398246765,59293.0
108,72.51789689064026,59293.0
109,72.75195574760437,59293.0
110,73.80340504646301,59293.0
111,74.03826403617859,59293.0
112,75.13373684883118,59293.0
113,75.36553001403809,59293.0
114,76.40825486183167,59293.0
115,76.64087390899658,59293.0
116,77.68961191177368,59293.0
117,77.92042994499207,59293.0
118,79.07620191574097,59293.0
119,79.30450916290283,59293.0
120,80.35737800598145,59293.0
121,80.58880305290222,59293.0
122,81.77132606506348,59293.0
123,82.0014271736145,59293.0
124,83.03707313537598,59293.0
125,83.2643768787384,59293.0
126,84.2967619895935,59293.0
127,84.53205013275146,59293.0
128,85.71727085113525,59293.0
129,85.95381116867065,59293.0
130,86.9963150024414,59293.0
131,87.22962713241577,59293.0
132,88.28859400749207,59293.0
133,88.62545394897461,59293.0
134,89.68248891830444,59293.0
135,89.91355586051941,59293.0
136,90.9592878818512,59293.0
137,91.18735885620117,59293.0
138,92.36008787155151,59293.0
139,92.59287786483765,59293.0
140,93.76042985916138,59293.0
141,93.99450206756592,59293.0
142,95.04482197761536,59293.0
143,95.32051014900208,59293.0
144,96.36561703681946,59293.0
145,96.5926718711853,59293.0
146,97.63011813163757,59293.0
147,97.86567902565002,59293.0
148,99.06991195678711,59293.0
149,99.30357503890991,59293.0
150,100.44479703903198,59293.0
151,100.68027687072754,59293.0
152,101.7087390422821,59293.0
153,101.94255495071411,59293.0
154,103.11927700042725,59293.0
155,103.34553480148315,59293.0
156,104.55521202087402,59293.0
157,104.78715801239014,59293.0
158,105.83291292190552,59293.0
159,106.06855797767639,59293.0
160,107.21464681625366,59293.0
161,107.44773697853088,59293.0
162,108.50084495544434,59293.0
163,108.83854293823242,59293.0
164,109.88683986663818,59293.0
165,110.11732602119446,59293.0
166,111.30878496170044,59293.0
167,111.53745794296265,59293.0
168,112.72054600715637,59293.0
169,112.94955205917358,59293.0
170,114.09227204322815,59293.0
171,114.3288459777832,59293.0
172,115.40053606033325,59293.0
173,115.63528895378113,59293.0
174,116.69848012924194,59293.0
175,116.9292299747467,59293.0
176,117.97917985916138,59293.0
177,118.20546698570251,59293.0
178,119.25040602684021,59293.0
179,119.48490309715271,59293.0
180,120.68225502967834,59293.0
181,120.91765284538269,59293.0
182,121.9494161605835,59293.0
183,122.17883515357971,59293.0
184,123.20914602279663,59293.0
185,123.44521379470825,59293.0
186,124.64827513694763,59293.0
187,124.8779308795929,59293.0
188,126.0340359210968,59293.0
