it,instant,local_optimum_value
0,0.0,16100.0
1,0.3656649589538574,16100.0
2,0.7167651653289795,16100.0
3,0.9496691226959229,16100.0
4,1.3012590408325195,16100.0
5,1.6563119888305664,15700.0
6,2.011993169784546,15700.0
7,2.367152214050293,15700.0
8,2.6003189086914062,15700.0
9,2.9454309940338135,15700.0
10,3.6224679946899414,15700.0
11,3.9715421199798584,15700.0
12,4.330281019210815,15700.0
13,4.683877229690552,15700.0
14,5.033997058868408,15700.0
15,5.382029056549072,15700.0
16,5.625235319137573,15700.0
17,5.9873411655426025,15700.0
18,6.349246978759766,15700.0
19,6.701931953430176,15700.0
20,7.055094957351685,15700.0
21,7.4068992137908936,15700.0
22,7.760375022888184,15700.0
23,8.127162218093872,15700.0
24,8.477326154708862,15700.0
25,8.830385208129883,15700.0
26,9.066441059112549,15700.0
27,9.419450044631958,15700.0
28,9.7763090133667,15700.0
29,10.143404960632324,15700.0
30,10.505544900894165,15700.0
31,10.85900592803955,15700.0
32,11.20932412147522,15700.0
33,11.446701049804688,15700.0
34,11.821169137954712,15700.0
35,12.213641881942749,15700.0
36,12.575390338897705,15700.0
37,12.93535304069519,15700.0
38,13.31929326057434,15700.0
39,14.010814905166626,15700.0
40,14.3719961643219,15700.0
41,14.726144075393677,15700.0
42,15.076669216156006,15700.0
