it,instant,local_optimum_value
0,0.0,42900.0
1,0.5910229682922363,42100.0
2,1.0621271133422852,41400.0
3,1.5247228145599365,41400.0
4,1.9846150875091553,41400.0
5,2.3437349796295166,41400.0
6,2.5828731060028076,41400.0
7,2.699474811553955,41400.0
8,3.436044931411743,41400.0
9,3.7858119010925293,41400.0
10,4.135868072509766,40900.0
11,4.486715078353882,40900.0
12,4.835101842880249,40900.0
13,5.070927143096924,40900.0
14,5.419713020324707,40900.0
15,5.652087926864624,40900.0
16,6.002647876739502,40900.0
17,6.357917785644531,40900.0
18,6.7046120166778564,40900.0
19,7.172882080078125,40900.0
20,7.530994892120361,40900.0
21,7.879677772521973,40900.0
22,8.112462997436523,40900.0
23,8.461251020431519,40900.0
24,8.815990924835205,40900.0
25,9.285728931427002,40900.0
26,9.75881314277649,40900.0
27,10.236630916595459,40900.0
28,10.588745832443237,40900.0
29,10.940807819366455,40900.0
30,11.401845932006836,40900.0
31,11.754621982574463,40900.0
32,12.10194706916809,40900.0
33,12.339587926864624,40900.0
34,12.690945863723755,40900.0
35,13.040930032730103,40900.0
36,13.386723041534424,40900.0
37,13.740358114242554,40900.0
38,14.085310935974121,40900.0
39,14.322502136230469,40900.0
40,14.671184062957764,40900.0
41,14.903890132904053,40900.0
42,15.254336833953857,40900.0
