it,instant,local_optimum_value
0,0.0,35000.0
1,1.6982572078704834,31400.0
2,2.2569501399993896,31400.0
3,2.9340453147888184,31400.0
4,3.3910462856292725,31400.0
5,3.8492050170898438,31400.0
6,4.542387247085571,31400.0
7,5.106494903564453,31400.0
8,5.461064100265503,31400.0
9,6.149899005889893,31400.0
10,6.709426164627075,31400.0
11,7.399937152862549,31400.0
12,7.962135076522827,31400.0
13,8.517414093017578,31400.0
14,9.31886911392212,31400.0
15,9.778568267822266,31400.0
16,10.490476131439209,31400.0
17,10.949626207351685,31400.0
18,11.522951126098633,31400.0
19,12.108540296554565,31400.0
20,12.56187629699707,31400.0
21,13.01218295097351,31400.0
